S-2B Google 1 0.503448275862069 S:2, I:2, D:2
S-2B Kaldi 1 0.2206896551724138 S:2, I:2, D:2
S-2B Google 2 0.27565392354124746 S:3, I:2, D:2
S-2B Kaldi 2 0.12877263581488935 S:2, I:2, D:2
S-2B Google 3 0.2752808988764045 S:4, I:6, D:4
S-2B Kaldi 3 0.12921348314606743 S:2, I:2, D:2
S-2B Google 4 0.266304347826087 S:5, I:2, D:5
S-2B Kaldi 4 0.10597826086956522 S:2, I:2, D:3
S-2B Google 5 0.3333333333333333 S:2, I:2, D:2
S-2B Kaldi 5 0.14227642276422764 S:2, I:2, D:2

S-30B Google 0 0.2813852813852814 S:5, I:5, D:5
S-30B Kaldi 0 0.0735930735930736 S:2, I:2, D:2
S-30B Google 1 0.3333333333333333 S:9, I:4, D:4
S-30B Kaldi 1 0.012121212121212121 S:2, I:2, D:2
S-30B Google 2 0.17973856209150327 S:2, I:2, D:2
S-30B Kaldi 2 0.026143790849673203 S:2, I:2, D:2
S-30B Google 3 0.17647058823529413 S:3, I:3, D:3
S-30B Kaldi 3 0.0392156862745098 S:2, I:2, D:2
S-30B Google 4 0.2112676056338028 S:2, I:2, D:2
S-30B Kaldi 4 0.08249496981891348 S:2, I:2, D:2
S-30B Google 5 0.19646365422396855 S:2, I:2, D:2
S-30B Kaldi 5 0.06483300589390963 S:2, I:2, D:2
S-30B Google 6 0.2857142857142857 S:2, I:2, D:2
S-30B Kaldi 6 0.12698412698412698 S:2, I:2, D:2
S-30B Google 7 0.1875 S:2, I:2, D:2
S-30B Kaldi 7 0.0125 S:2, I:2, D:2
S-30B Google 8 0.3888888888888889 S:7, I:2, D:2
S-30B Kaldi 8 0.05555555555555555 S:3, I:3, D:2
S-30B Google 9 0.36363636363636365 S:4, I:5, D:4
S-30B Kaldi 9 0.05454545454545454 S:2, I:2, D:2
S-30B Google 10 0.5 S:3, I:4, D:3
S-30B Kaldi 10 0.029411764705882353 S:5, I:2, D:2
S-30B Google 11 0.3275862068965517 S:3, I:2, D:2
S-30B Kaldi 11 0.06896551724137931 S:2, I:2, D:2

S-32D Google 0 0.2637795275590551 S:3, I:2, D:4
S-32D Kaldi 0 0.04330708661417323 S:2, I:2, D:2
S-32D Google 1 0.2807570977917981 S:2, I:2, D:2
S-32D Kaldi 1 0.10410094637223975 S:2, I:2, D:2
S-32D Google 2 0.32684824902723736 S:2, I:2, D:2
S-32D Kaldi 2 0.13229571984435798 S:2, I:2, D:2
S-32D Google 3 0.3402777777777778 S:2, I:2, D:2
S-32D Kaldi 3 0.08680555555555555 S:2, I:2, D:2
S-32D Google 4 0.47157190635451507 S:4, I:2, D:4
S-32D Kaldi 4 0.12374581939799331 S:2, I:2, D:2
S-32D Google 5 0.26956521739130435 S:5, I:2, D:2
S-32D Kaldi 5 0.07391304347826087 S:2, I:2, D:2
S-32D Google 6 0.45569620253164556 S:2, I:2, D:2
S-32D Kaldi 6 0.24050632911392406 S:2, I:2, D:2
S-32D Google 7 0.33636363636363636 S:3, I:2, D:2
S-32D Kaldi 7 0.19090909090909092 S:2, I:2, D:2
S-32D Google 8 0.29411764705882354 S:4, I:4, D:6
S-32D Kaldi 8 0.08823529411764706 S:2, I:2, D:3
S-32D Google 9 0.21084337349397592 S:2, I:2, D:2
S-32D Kaldi 9 0.10843373493975904 S:2, I:2, D:2
S-32D Google 10 0.47058823529411764 S:2, I:2, D:2
S-32D Kaldi 10 0.0 S:2, I:2, D:2
S-32D Google 11 0.016666666666666666 S:4, I:4, D:6
S-32D Kaldi 11 0.03333333333333333 S:2, I:2, D:3

S-3C Google 0 0.1829787234042553 S:2, I:2, D:2
S-3C Kaldi 0 0.07659574468085106 S:2, I:2, D:2
S-3C Google 1 0.23225806451612904 S:2, I:2, D:2
S-3C Kaldi 1 0.07096774193548387 S:2, I:2, D:2
S-3C Google 2 0.27925531914893614 S:2, I:2, D:2
S-3C Kaldi 2 0.125 S:2, I:2, D:2
S-3C Google 3 0.11206896551724138 S:7, I:4, D:7
S-3C Kaldi 3 0.034482758620689655 S:2, I:2, D:2
S-3C Google 4 0.14157303370786517 S:2, I:2, D:2
S-3C Kaldi 4 0.056179775280898875 S:2, I:2, D:2
S-3C Google 5 0.23985239852398524 S:6, I:4, D:5
S-3C Kaldi 5 0.13284132841328414 S:2, I:2, D:2

S-4D Google 0 0.31851851851851853 S:2, I:2, D:2
S-4D Kaldi 0 0.11666666666666667 S:2, I:2, D:2
